,Accuracy(%),Duration(s),Activation 1,Activation 2,Dropout rate,Learning rate
15,82.89999999999999,144.168,relu,relu,0.5,0.001
14,81.8,152.931,relu,relu,0.5,0.001
7,78.4,157.545,tanh,relu,0.5,0.001
5,71.89999999999999,150.579,relu,tanh,0.2,0.001
19,71.5,2402.873,relu,tanh,0.2,0.001
20,69.5,109.753,relu,tanh,0.2,0.01
8,66.60000000000001,150.181,relu,tanh,0.8,0.01
17,65.2,148.14,tanh,relu,0.5,0.01
16,65.0,141.116,relu,tanh,0.8,0.01
3,64.8,146.43,relu,tanh,0.5,0.01
10,63.800000000000004,159.759,sigmoid,sigmoid,0.5,0.01
9,61.4,157.731,tanh,sigmoid,0.2,0.01
11,59.199999999999996,156.605,sigmoid,relu,0.5,0.001
6,56.89999999999999,150.721,relu,relu,0.8,0.01
1,54.800000000000004,142.878,tanh,tanh,0.2,0.01
18,50.1,145.719,sigmoid,relu,0.5,0.001
13,36.8,160.636,sigmoid,tanh,0.5,0.1
12,26.200000000000003,157.384,sigmoid,sigmoid,0.5,0.1
2,14.399999999999999,144.924,relu,sigmoid,0.8,0.01
4,14.399999999999999,148.552,sigmoid,relu,0.5,0.1
