,Duration(s),Accuracy(%),F1(Macro),F1(Weighted),n_estimators,max_leaf_nodes
0,104.932,58.3,0.518,0.535,30,100
0,95.125,56.99999999999999,0.501,0.518,30,70
0,70.771,56.599999999999994,0.502,0.518,20,100
0,63.662,55.400000000000006,0.482,0.5,20,70
0,84.369,54.900000000000006,0.463,0.482,30,40
0,35.542,54.7,0.487,0.503,10,100
0,33.138,53.6,0.471,0.487,10,70
0,53.98,52.900000000000006,0.442,0.461,20,40
0,30.522,51.7,0.437,0.456,10,40
0,48.469,44.0,0.335,0.355,30,10
0,21.488,39.7,0.3,0.316,10,10
0,36.218,38.9,0.287,0.303,20,10
