,Accuracy(%),Duration(s),Activation 1,Activation 2,Dropout rate,Learning rate
17,83.0,498.954,relu,relu,0.5,0.001
19,78.10000000000001,542.561,relu,tanh,0.8,0.001
12,77.2,136.318,tanh,relu,0.2,0.001
1,76.8,137.115,relu,sigmoid,0.5,0.001
18,76.8,539.164,relu,tanh,0.8,0.001
16,73.5,441.449,tanh,sigmoid,0.5,0.001
20,72.39999999999999,511.324,tanh,sigmoid,0.2,0.001
15,69.3,151.022,tanh,sigmoid,0.2,0.01
11,67.80000000000001,137.798,relu,tanh,0.2,0.01
9,67.5,140.537,sigmoid,sigmoid,0.5,0.001
14,67.4,137.056,relu,tanh,0.5,0.01
5,64.8,138.699,sigmoid,relu,0.8,0.001
2,62.7,142.689,tanh,tanh,0.2,0.1
10,60.3,135.646,sigmoid,relu,0.8,0.001
7,57.8,131.498,relu,tanh,0.2,0.1
6,54.1,131.195,relu,tanh,0.8,0.1
13,49.6,136.104,tanh,relu,0.5,0.01
3,15.1,139.968,relu,relu,0.2,0.1
8,14.7,134.637,sigmoid,relu,0.5,0.1
4,14.399999999999999,141.019,sigmoid,relu,0.2,0.01
