,Accuracy(%),Duration(s),Dense 1,Activation 1,Dense 2,Activation 2
23,65.3,20.151,200,relu,200,sigmoid
6,63.7,10.058,100,relu,200,tanh
5,63.6,10.37,100,relu,200,sigmoid
22,63.5,22.102,200,relu,200,relu
20,63.3,23.518,200,relu,100,sigmoid
2,62.8,9.908,100,relu,100,sigmoid
1,62.8,9.116,100,relu,100,relu
4,62.6,10.276,100,relu,200,relu
3,62.6,9.367,100,relu,100,tanh
21,62.3,21.588,200,relu,100,tanh
19,62.2,83.979,200,relu,100,relu
24,62.0,22.378,200,relu,200,tanh
29,61.4,19.382,200,sigmoid,200,sigmoid
25,60.8,22.2,200,sigmoid,100,relu
7,60.8,9.769,100,sigmoid,100,relu
26,60.8,21.554,200,sigmoid,100,sigmoid
14,60.699999999999996,9.825,100,tanh,100,sigmoid
9,60.6,9.718,100,sigmoid,100,tanh
8,60.4,10.153,100,sigmoid,100,sigmoid
27,60.4,20.314,200,sigmoid,100,tanh
12,60.3,9.998,100,sigmoid,200,tanh
28,60.199999999999996,20.89,200,sigmoid,200,relu
30,60.0,19.453,200,sigmoid,200,tanh
10,60.0,10.035,100,sigmoid,200,relu
11,59.8,10.051,100,sigmoid,200,sigmoid
17,59.4,11.091,100,tanh,200,sigmoid
18,59.3,13.771,100,tanh,200,tanh
16,58.8,10.188,100,tanh,200,relu
15,58.699999999999996,9.341,100,tanh,100,tanh
13,58.4,10.239,100,tanh,100,relu
