,Accuracy(%),Duration(s),Dense 1,Activation 1,Dense 2,Activation 2,Learning rate
12,63.800000000000004,11.77,100,relu,200,relu,0.001
25,63.5,16.474,200,relu,100,sigmoid,0.001
24,62.5,17.318,200,relu,200,relu,0.001
1,61.5,14.56,200,relu,100,relu,0.001
4,60.6,15.013,200,sigmoid,100,relu,0.001
10,60.5,17.064,200,sigmoid,100,tanh,0.001
18,59.8,17.662,200,tanh,100,tanh,0.001
26,59.4,11.436,100,tanh,200,relu,0.001
21,59.0,11.718,100,tanh,100,sigmoid,0.001
14,58.599999999999994,17.283,200,tanh,100,sigmoid,0.001
27,54.900000000000006,11.789,100,sigmoid,200,sigmoid,0.01
29,52.7,17.351,200,sigmoid,200,relu,0.01
9,50.3,11.728,100,tanh,200,relu,0.01
22,49.5,10.932,100,tanh,100,tanh,0.01
20,49.3,17.783,200,tanh,100,tanh,0.01
6,45.9,16.741,200,tanh,200,tanh,0.01
19,41.6,17.037,200,tanh,100,relu,0.1
3,40.1,9.551,100,relu,200,sigmoid,0.01
23,39.7,17.762,200,relu,200,relu,0.01
8,37.1,18.248,200,tanh,200,sigmoid,0.1
13,36.7,12.004,100,relu,100,tanh,0.01
2,33.7,9.003,100,tanh,100,relu,0.1
5,30.5,16.92,200,relu,200,sigmoid,0.1
15,30.2,11.548,100,sigmoid,100,sigmoid,0.1
7,26.3,16.653,200,relu,100,tanh,0.1
28,15.1,17.923,200,sigmoid,200,tanh,0.1
16,14.399999999999999,17.803,200,sigmoid,200,relu,0.1
17,14.399999999999999,17.327,200,relu,100,relu,0.1
11,14.399999999999999,17.769,200,relu,100,relu,0.1
30,14.399999999999999,17.989,200,relu,200,relu,0.1
