,Accuracy(%),Duration(s),Activation 2,Dropout rate
3,85.7,126.144,relu,0.8
2,82.89999999999999,124.059,relu,0.5
1,81.6,110.824,relu,0.2
9,78.5,126.621,tanh,0.8
4,78.10000000000001,122.499,sigmoid,0.2
5,77.9,126.272,sigmoid,0.5
6,77.3,124.902,sigmoid,0.8
8,74.8,130.788,tanh,0.5
7,71.6,123.788,tanh,0.2
