,Accuracy(%),Duration(s),Dense 1,Activation 1,Dense 2,Activation 2,Learning rate
12,63.800000000000004,11.572,100,relu,200,relu,0.001
25,63.5,20.27,200,relu,100,sigmoid,0.001
24,62.5,22.474,200,relu,200,relu,0.001
1,61.5,20.246,200,relu,100,relu,0.001
4,60.6,23.179,200,sigmoid,100,relu,0.001
10,60.5,23.248,200,sigmoid,100,tanh,0.001
18,59.8,20.395,200,tanh,100,tanh,0.001
26,59.4,12.733,100,tanh,200,relu,0.001
21,59.0,11.817,100,tanh,100,sigmoid,0.001
14,58.599999999999994,22.369,200,tanh,100,sigmoid,0.001
27,54.900000000000006,13.725,100,sigmoid,200,sigmoid,0.01
29,52.7,21.544,200,sigmoid,200,relu,0.01
9,50.3,14.377,100,tanh,200,relu,0.01
22,49.5,11.556,100,tanh,100,tanh,0.01
20,49.3,20.396,200,tanh,100,tanh,0.01
6,45.9,24.01,200,tanh,200,tanh,0.01
19,41.6,19.448,200,tanh,100,relu,0.1
3,40.1,14.065,100,relu,200,sigmoid,0.01
23,39.7,22.892,200,relu,200,relu,0.01
8,37.1,24.65,200,tanh,200,sigmoid,0.1
13,36.7,12.273,100,relu,100,tanh,0.01
2,33.7,11.013,100,tanh,100,relu,0.1
5,30.5,24.677,200,relu,200,sigmoid,0.1
15,30.2,12.782,100,sigmoid,100,sigmoid,0.1
7,26.3,23.793,200,relu,100,tanh,0.1
28,15.1,21.391,200,sigmoid,200,tanh,0.1
16,14.399999999999999,22.568,200,sigmoid,200,relu,0.1
17,14.399999999999999,20.249,200,relu,100,relu,0.1
11,14.399999999999999,19.313,200,relu,100,relu,0.1
30,14.399999999999999,20.637,200,relu,200,relu,0.1
