,Accuracy(%),Duration(s),Activation 2,Dropout rate
3,84.7,503.121,relu,0.8
2,82.0,483.947,relu,0.5
1,80.10000000000001,499.032,relu,0.2
4,78.2,522.369,sigmoid,0.2
6,77.5,531.986,sigmoid,0.8
5,77.4,530.408,sigmoid,0.5
9,77.4,519.968,tanh,0.8
8,74.4,510.86,tanh,0.5
7,71.39999999999999,513.468,tanh,0.2
